String,Statement,Label
what where the most important factors that led to the defeat of the democrates in 1968 ?,,"Analysts have argued the election of 1968 is a realigning election as it permanently disrupted the New Deal Coalition that had dominated presidential politics for 36 years .,This was the last election in which New York had the most votes in the electoral college ( 43 votes ) .,This is the latest election where a presidential ticket won without carrying the vice presidential candidate 's home state ."
when did kurt cobain kill himself,,"Kurt 's signature,He challenged Nirvana 's audience with its final studio album In Utero ( 1993 ) .,The circumstances of his death at age 27 have become a topic of public fascination and debate ."
what is a millwright worker,,"A millwright is a craftsman or tradesman engaged with the construction and maintenance of machinery .,Modern millwrights work with steel and other materials in addition to wood and must often combine the skills of several skilled trades in order to successfully fabricate industrial machinery or to assemble machines from pre-fabricated parts .,The modern millwright must also be able to read blueprints and other schematics to aid him in the construction of complex systems ."
who financed the movie the adjustment bureau,,The film was written and directed by George Nolfi and stars Matt Damon and Emily Blunt .
what product 's main ingredient is sodium Azide ?,,"Sodium azide is the inorganic compound with the formula NaN3 .,This colorless salt is the gas-forming component in many car airbag systems .,It is used for the preparation of other azide compounds ."
what are the colors of a rainbow,,"Double rainbow and supernumerary rainbows on the inside of the primary arc .,The shadow of the photographer 's head on the bottom marks the centre of the rainbow circle ( antisolar point ) .,It takes the form of a multicoloured arc .,Rainbows caused by sunlight always appear in the section of sky directly opposite the sun .,This second rainbow is caused by light reflecting twice inside water droplets ."
when did the UK Labour Government replace the Conservative Government ?,,"Thatcher 's tenure led to wide-ranging economic liberalisation and saw the Conservatives become the most eurosceptic of the three major parties .,They are the third-largest party in the Scottish Parliament and second-largest in the Welsh Assembly ."
what the names of destiny 's child,,Destiny 's Child has sold more than 50 million records worldwide to date .
who founded the cdc,,The CDC is the United States ' national public health institute and is a founding member of the International Association of National Public Health Institutes .
who all has debby ryan,,"Ryan is best known for starring as Bailey Pickett in the Disney Channel Original Series The Suite Life on Deck .,Ryan started acting in professional theatres at the age of seven ; in 2007 she appeared in the Barney & Friends straight-to-DVD film Barney : Let 's Go to the Firehouse and then was discovered in a nationwide search by Disney .,She is also known for appearing in the 2008 feature film The Longshots as Edith .,16 Wishes introduced Ryan to new audiences ; the movie received high viewership in the adults demographic ( 18-34 ) ."
who created the tourbillon movement ?,,"Stührling Tourbillon Movement ( ) .,The mechanism is usually exposed on the watch 's face to show it off ."
what is an .msi file,,"New features include a GUI framework and automatic generation of the uninstallation sequence .,Windows Installer is positioned as an alternative to stand-alone executable installer frameworks such as older versions of InstallShield and NSIS .,Important features such as rollback and versioning depend on a consistent internal database for reliable operation ."
what is a Four Lokos,,Phusion operates as Drink Four Brewing Company .
