String,new_string
What are the busiest airports in the world,"[{'generated_text': 'according to the text , how many types of airport traffic are there ?'}]"
who staRTED WORLD WAR I ?,[{'generated_text': 'why was the League of Nations formed ?'}]
what part of the bp oil spill affected the water,[{'generated_text': 'what is the total amount of the spill ?'}]
where the streets have no name filming location,"[{'generated_text': 'what \'s the title of the song "" where the Streets have no name "" ?'}]"
what time does the cape come on ?,[{'generated_text': 'why didNBC cut the total number of the episodes to be aired from 13 to 10 ?'}]
where did halley 's comet come from,[{'generated_text': 'when did the first comet appear in the inner Solar system ?'}]
what are the 40 largest cities in the us,[{'generated_text': 'which is true according to the text ?'}]
where did the mayflower land,[{'generated_text': 'what is travail and survival in a harsh New world environment ?'}]
what is a forward in soccer,[{'generated_text': 'what is a typical Attacking Midfielder seen as ?'}]
WHO QUALIFIES AS A DOMESTIC PARTNER IN CA,[{'generated_text': 'why did the state Legislature expand the scope of marriage ?'}]
where did mark jackson play pro basketball ?,[{'generated_text': 'what doesJackson do ?'}]
what languages are spoken in south africa,[{'generated_text': 'how many languages are there in the text ?'}]
what are the Jets New York Jets ?,[{'generated_text': 'where did the team begin to play ?'}]
what are shrooms the drug,[{'generated_text': 'why are psilocybin mushrooms used recreationally ?'}]
what shape are arrondissement organized,[{'generated_text': 'where is the capital of an arrondissement/district ?'}]
what protects the vagina,"[{'generated_text': 'why is the word "" vaginae "" rarely used in english ?'}]"
what year did reds win world series,[{'generated_text': 'who owns the Cincinnati Reds ?'}]
what are stink bombs made of,[{'generated_text': 'what is a stink bomb ?'}]
who said `` A picture is worth a thousand words '' ?,"[{'generated_text': 'what does the phrase "" a picture is worth a thousand words "" mean ?'}]"
what months are in each season,[{'generated_text': 'how many ecological seasons are mentioned in the text ?'}]
what are the economics of the netherlands,[{'generated_text': 'how many countries are mentioned in this article ?'}]
who produced loyal to the game ?,[{'generated_text': 'what isoyal to the game ?'}]
who has been co-hosts on the view ?,"[{'generated_text': 'when was the program "" the View "" first aired ?'}]"
what terminal is delta at lax,[{'generated_text': 'why is the airport ranked among the top five U.S. airports for passenger traffic ?'}]
what year did peyton manning get drafted,[{'generated_text': 'how did Manning call the play at the line of scrimmage ?'}]
who owns bakers footwear,[{'generated_text': 'how many companies are mentioned in the text ?'}]
what is a penny made of,[{'generated_text': 'how many colors are there in the one cent piece ?'}]
who does afge represent,[{'generated_text': 'what is the AFL-CIO ?'}]
what is a major trend in land plant evolution,[{'generated_text': 'how many spore are there in the text ?'}]
what teams won super bowl,"[{'generated_text': 'why was the first two games known as the `` AFL-NFL World Championship Game "" ?'}]"
where in Texas is Martin County ?,[{'generated_text': 'where is the text most probably from ?'}]
what is a normal alkaline phosphatase blood reading,[{'generated_text': 'what is dephosphorylation ?'}]
when do i plant triticale,[{'generated_text': 'why has the wheat been developed into a commercially viable crop ?'}]
who wrote puff the magic dragon,[{'generated_text': 'when did the song become popular ?'}]
who has the most national championships,[{'generated_text': 'which sport is not known by the public ?'}]
where did the money for the new scoreboard in milwaukee come from,[{'generated_text': 'where does the team play its home games ?'}]
when did expos become nationals,"[{'generated_text': 'who gave the Nationals their nickname "" the Nationals "" ?'}]"
what is a contingent fee with an attorney,[{'generated_text': 'what is a contingent fee in the us ?'}]
when does sons of anarchy return 2011,"[{'generated_text': 'what does the phrase "" a seventh and final season "" mean ?'}]"
what type of volcano is grimsvotn,[{'generated_text': 'which volcano has the highest eruption frequency of all the volcanoes in Iceland ?'}]
what is a vetting process,[{'generated_text': 'what should you do before you make a hiring decision ?'}]
what states are harrah 's properties in,[{'generated_text': 'where does this text probably come from ?'}]
what is a landed immigrant in canada,[{'generated_text': 'what is a Permanent Resident ?'}]
who killed erica cain,[{'generated_text': 'what is a real character from the soap opera All my children ?'}]
who reports the consumer price index,"[{'generated_text': 'what is a "" measure of inflation "" in the us ?'}]"
what are rocker arms ?,[{'generated_text': 'what is the most important part of the rocker arm ?'}]
who sang the nights the lights went out,"[{'generated_text': 'when did the song "" the Night the Lights Went out in Georgia "" come out ?'}]"
where does the return address go on mail,[{'generated_text': 'what should you do if you want to send an email ?'}]
what is a synthetic conduit,[{'generated_text': 'which is not a suitable title for the text ?'}]
what is amoxicillin for ?,[{'generated_text': 'what is the function of amoxicillin ?'}]
where did lyndon b johnson tour to announce his war on poverty ?,[{'generated_text': 'who is ranked favorably by some historians ?'}]
what state was the civil war in,[{'generated_text': 'which is not the reason for the civil war in 1860 ?'}]
where did the early humans live ?,[{'generated_text': 'how did the early bipedals get their name ?'}]
who did cuddy get engaged to on house,[{'generated_text': 'who played the lead role in season seven ?'}]
what track and field event for me ?,[{'generated_text': 'what is the common feature of the three sports ?'}]
what year was gulf war,[{'generated_text': 'how many countries joined the Coalition ?'}]
When did F15s first fly,[{'generated_text': 'what was the original design of the aircraft ?'}]
what is a mimio board,[{'generated_text': 'why is the product line designed by Virtual Ink ?'}]
what is a harlot in the bible,[{'generated_text': 'what kind of person isRahab ?'}]
what are the goals of the organization of American states,[{'generated_text': 'how many states are there in the us ?'}]
where did columbus really land in 1492 ?,[{'generated_text': 'what didColumbus do in the light of the spreading of the Christian religion ?'}]
what are SATA Power Connector,"[{'generated_text': 'which is the correct use of the term "" SATA "" ?'}]"
who invented the internet,[{'generated_text': 'what was the problem with the ARPANET before the internet was developed ?'}]
who produced the gift by susan boyle,"[{'generated_text': 'what doesoyle mean by saying "" that was [ her ] era "" ?'}]"
What kind of poem is `` This is Just to Say '',"[{'generated_text': 'who wrote "" this is just to say "" ?'}]"
who played dumbledore in harry potter,[{'generated_text': 'who played the role of Dumbledore in the films ?'}]
what produces calcitonin,[{'generated_text': 'what is calcitonin-like protein family ?'}]
what material is a mouse pad made out of ?,[{'generated_text': 'what is a mouse pad ?'}]
who hit the first home run at riverfront stadium ?,[{'generated_text': 'where is the photo taken from ?'}]
Who Makes Nexen Tires,[{'generated_text': 'where does this text probably come from ?'}]
who did richard nixon refer to as the silent majority,"[{'generated_text': ""what 's the silent majority ?""}]"
what year did the last monkeys go into space,[{'generated_text': 'how many monkeys flew in the space program ?'}]
what raid levels use striping,[{'generated_text': 'what was the original use of the term RAID ?'}]
what are cytotoxic lymphocytes,[{'generated_text': 'how many types of white blood cells are there in the body ?'}]
who narrates the big lebowski,[{'generated_text': 'why was the film a failure at the box office ?'}]
who Plays snape in harry potter,[{'generated_text': 'what iseverus Snape ?'}]
what are grits made from,[{'generated_text': 'why are modern grits used to speed cooking ?'}]
when did coca cola first come out,[{'generated_text': 'what does the company sell concentrate for ?'}]
what role do ombudsman play in the swedish government ?,[{'generated_text': 'what is the duty of an ombudsman ?'}]
